Código,Localidad,Regimen,NumeroPredios,AreaConstruida,ValorAvaluoCatastral
0,All,PROPIEDAD HORIZONTAL,0,0,0
0,All,NO PROPIEDAD HORIZONTAL,0,0,0
1,USAQUÉN,PROPIEDAD HORIZONTAL,318951,17044135.11,60979.83856
1,USAQUÉN,NO PROPIEDAD HORIZONTAL,34602,10018173.48,36285.71896
2,CHAPINERO,PROPIEDAD HORIZONTAL,161640,9996579.66,48528.34156
2,CHAPINERO,NO PROPIEDAD HORIZONTAL,11775,5621323.89,18433.43146
3,SANTA FÉ,PROPIEDAD HORIZONTAL,47624,2566163.15,7058.725447
3,SANTA FÉ,NO PROPIEDAD HORIZONTAL,16768,4298093.08,6567.360488
4,SAN CRISTÓBAL,PROPIEDAD HORIZONTAL,23193,934013.49,1375.649533
4,SAN CRISTÓBAL,NO PROPIEDAD HORIZONTAL,63419,10377521.73,8243.837023
5,USME,PROPIEDAD HORIZONTAL,24165,1278825.52,1408.512581
5,USME,NO PROPIEDAD HORIZONTAL,65454,7808845.2,5828.921821
6,TUNJUELITO,PROPIEDAD HORIZONTAL,13164,653837.88,1219.166034
6,TUNJUELITO,NO PROPIEDAD HORIZONTAL,20386,5512867.48,7128.32102
7,BOSA,PROPIEDAD HORIZONTAL,79405,3716835.26,5027.047672
7,BOSA,NO PROPIEDAD HORIZONTAL,77170,12823597.99,14294.72536
8,KENNEDY,PROPIEDAD HORIZONTAL,172596,8446452.38,16189.42927
8,KENNEDY,NO PROPIEDAD HORIZONTAL,108784,22081911.94,32866.15393
9,FONTIBÓN,PROPIEDAD HORIZONTAL,121794,6495358.55,18350.06254
9,FONTIBÓN,NO PROPIEDAD HORIZONTAL,29285,13746412.45,29598.3778
10,ENGATIVA,PROPIEDAD HORIZONTAL,120981,6505535.07,14039.70686
10,ENGATIVA,NO PROPIEDAD HORIZONTAL,95716,19749093.57,35814.11271
11,SUBA,PROPIEDAD HORIZONTAL," 375,863 "," 18,791,438 "," 50,335 "
11,SUBA,NO PROPIEDAD HORIZONTAL," 97,139 "," 20,341,873 "," 43,995 "
12,BARRIOS UNIDOS,PROPIEDAD HORIZONTAL," 30,294 "," 1,715,208 "," 4,756 "
12,BARRIOS UNIDOS,NO PROPIEDAD HORIZONTAL," 26,134 "," 7,483,759 "," 15,058 "
13,TEUSAQUILLO,PROPIEDAD HORIZONTAL,71023,4275907.81,15307.23313
13,TEUSAQUILLO,NO PROPIEDAD HORIZONTAL,13453,5623779.59,15738.91162
14,LOS MÁRTIRES,PROPIEDAD HORIZONTAL,20876,1067503.95,2699.100913
14,LOS MÁRTIRES,NO PROPIEDAD HORIZONTAL,13970,5230110.36,8645.333763
15,ANTONIO NARIÑO,PROPIEDAD HORIZONTAL," 10,182 ",733423.72,1935.007564
15,ANTONIO NARIÑO,NO PROPIEDAD HORIZONTAL," 12,398 ",3893667.45,5810.83939
16,PUENTE ARANDA,PROPIEDAD HORIZONTAL,31473,1770846,3807.180755
16,PUENTE ARANDA,NO PROPIEDAD HORIZONTAL,37982,13319833.76,22798.53892
17,LA CANDELARIA,PROPIEDAD HORIZONTAL," 10,669 ",589232.59,1281.129396
17,LA CANDELARIA,NO PROPIEDAD HORIZONTAL," 3,654 ",1937480.38,3131.364442
18,RAFAEL URIBE URIBE,PROPIEDAD HORIZONTAL,24283,1182961.75,1755.095086
18,RAFAEL URIBE URIBE,NO PROPIEDAD HORIZONTAL,52789,10320702.13,9474.706506
19,CIUDAD BOLÍVAR,PROPIEDAD HORIZONTAL,36170,1632283.8,2581.6722
19,CIUDAD BOLÍVAR,NO PROPIEDAD HORIZONTAL,110300,13562644.73,12117.58685
20,SUMAPAZ,PROPIEDAD HORIZONTAL,0,0,0
20,SUMAPAZ,NO PROPIEDAD HORIZONTAL,1702,92446.1,89.999758