Estrato,Year,Predios
Sin Estrato,2010,393423
Sin Estrato,2011,403273
Sin Estrato,2012,407350
Sin Estrato,2013,407593
Sin Estrato,2014,414764
Sin Estrato,2015,419717
Sin Estrato,2016,422077
Sin Estrato,2017,424571
Sin Estrato,2018,426661
E1,2010,107554
E1,2011,107871
E1,2012,108502
E1,2013,109547
E1,2014,110733
E1,2015,112007
E1,2016,114449
E1,2017,122699
E1,2018,125228
E2,2010,475853
E2,2011,484157
E2,2012,498084
E2,2013,517697
E2,2014,525039
E2,2015,532684
E2,2016,544661
E2,2017,551792
E2,2018,555753
E3,2010,588024
E3,2011,591796
E3,2012,604506
E3,2013,617906
E3,2014,625824
E3,2015,635403
E3,2016,654366
E3,2017,669410
E3,2018,674963
E4,2010,335243
E4,2011,371895
E4,2012,390050
E4,2013,404957
E4,2014,421815
E4,2015,433674
E4,2016,443321
E4,2017,461145
E4,2018,484003
E5,2010,121476
E5,2011,131498
E5,2012,133836
E5,2013,137493
E5,2014,149176
E5,2015,155590
E5,2016,159237
E5,2017,165905
E5,2018,168931
E6,2010,118452
E6,2011,123491
E6,2012,126925
E6,2013,131773
E6,2014,137039
E6,2015,140163
E6,2016,143595
E6,2017,147768
E6,2018,151687