Codigo,Localidad,ActividadEconomica,Year,PorcUso
1,"USAQUÉN","BODEGAS",2010,0.028480748
1,"USAQUÉN","CLINICAS, HOSPITALES, CENTROS MEDICOS",2010,0.008094890
1,"USAQUÉN","COMERCIO",2010,0.039598496
1,"USAQUÉN","HOTELES",2010,0.009207570
1,"USAQUÉN","INDUSTRIA",2010,0.002342658
1,"USAQUÉN","LOTES",2010,0.000184790
1,"USAQUÉN","OFICINAS",2010,0.055677112
1,"USAQUÉN","OTROS",2010,0.018464320
1,"USAQUÉN","RESIDENCIAL",2010,0.812186854
1,"USAQUÉN","UNIVERSIDADES Y COLEGIOS",2010,0.025762562
1,"USAQUÉN","BODEGAS",2011,0.028162785
1,"USAQUÉN","CLINICAS, HOSPITALES, CENTROS MEDICOS",2011,0.007956548
1,"USAQUÉN","COMERCIO",2011,0.039258047
1,"USAQUÉN","HOTELES",2011,0.010753338
1,"USAQUÉN","INDUSTRIA",2011,0.002198832
1,"USAQUÉN","LOTES",2011,0.000073472
1,"USAQUÉN","OFICINAS",2011,0.060729520
1,"USAQUÉN","OTROS",2011,0.019100037
1,"USAQUÉN","RESIDENCIAL",2011,0.804420866
1,"USAQUÉN","UNIVERSIDADES Y COLEGIOS",2011,0.027346555
1,"USAQUÉN","BODEGAS",2012,0.026063786
1,"USAQUÉN","CLINICAS, HOSPITALES, CENTROS MEDICOS",2012,0.006487382
1,"USAQUÉN","COMERCIO",2012,0.038286428
1,"USAQUÉN","HOTELES",2012,0.010641197
1,"USAQUÉN","INDUSTRIA",2012,0.002226430
1,"USAQUÉN","LOTES",2012,0.000068881
1,"USAQUÉN","OFICINAS",2012,0.059906949
1,"USAQUÉN","OTROS",2012,0.021704065
1,"USAQUÉN","RESIDENCIAL",2012,0.806824284
1,"USAQUÉN","UNIVERSIDADES Y COLEGIOS",2012,0.027790600
1,"USAQUÉN","BODEGAS",2013,0.026917526
1,"USAQUÉN","CLINICAS, HOSPITALES, CENTROS MEDICOS",2013,0.006303238
1,"USAQUÉN","COMERCIO",2013,0.037546788
1,"USAQUÉN","HOTELES",2013,0.010352911
1,"USAQUÉN","INDUSTRIA",2013,0.002193929
1,"USAQUÉN","LOTES",2013,0.000159518
1,"USAQUÉN","OFICINAS",2013,0.058096958
1,"USAQUÉN","OTROS",2013,0.023242907
1,"USAQUÉN","RESIDENCIAL",2013,0.808064607
1,"USAQUÉN","UNIVERSIDADES Y COLEGIOS",2013,0.027121618
1,"USAQUÉN","BODEGAS",2014,0.026338684
1,"USAQUÉN","CLINICAS, HOSPITALES, CENTROS MEDICOS",2014,0.006818058
1,"USAQUÉN","COMERCIO",2014,0.037310554
1,"USAQUÉN","HOTELES",2014,0.005814872
1,"USAQUÉN","INDUSTRIA",2014,0.002120960
1,"USAQUÉN","LOTES",2014,0.000064560
1,"USAQUÉN","OFICINAS",2014,0.058843302
1,"USAQUÉN","OTROS",2014,0.030064342
1,"USAQUÉN","RESIDENCIAL",2014,0.806620703
1,"USAQUÉN","UNIVERSIDADES Y COLEGIOS",2014,0.026003964
1,"USAQUÉN","BODEGAS",2015,0.026809384
1,"USAQUÉN","CLINICAS, HOSPITALES, CENTROS MEDICOS",2015,0.006738983
1,"USAQUÉN","COMERCIO",2015,0.036528468
1,"USAQUÉN","HOTELES",2015,0.006460108
1,"USAQUÉN","INDUSTRIA",2015,0.002115174
1,"USAQUÉN","LOTES",2015,0.000063334
1,"USAQUÉN","OFICINAS",2015,0.060210771
1,"USAQUÉN","OTROS",2015,0.027440038
1,"USAQUÉN","RESIDENCIAL",2015,0.807718075
1,"USAQUÉN","UNIVERSIDADES Y COLEGIOS",2015,0.025915665
1,"USAQUÉN","BODEGAS",2016,0.027512921
1,"USAQUÉN","CLINICAS, HOSPITALES, CENTROS MEDICOS",2016,0.006878857
1,"USAQUÉN","COMERCIO",2016,0.036152991
1,"USAQUÉN","HOTELES",2016,0.006366408
1,"USAQUÉN","INDUSTRIA",2016,0.002248243
1,"USAQUÉN","LOTES",2016,0.000062191
1,"USAQUÉN","OFICINAS",2016,0.062288111
1,"USAQUÉN","OTROS",2016,0.027192565
1,"USAQUÉN","RESIDENCIAL",2016,0.804648765
1,"USAQUÉN","UNIVERSIDADES Y COLEGIOS",2016,0.026648947
1,"USAQUÉN","BODEGAS",2017,0.027625957
1,"USAQUÉN","CLINICAS, HOSPITALES, CENTROS MEDICOS",2017,0.006788046
1,"USAQUÉN","COMERCIO",2017,0.034868474
1,"USAQUÉN","HOTELES",2017,0.005650293
1,"USAQUÉN","INDUSTRIA",2017,0.002215824
1,"USAQUÉN","LOTES",2017,0.000051501
1,"USAQUÉN","OFICINAS",2017,0.061551778
1,"USAQUÉN","OTROS",2017,0.026904798
1,"USAQUÉN","RESIDENCIAL",2017,0.808088469
1,"USAQUÉN","UNIVERSIDADES Y COLEGIOS",2017,0.026254860
1,"USAQUÉN","BODEGAS",2018,0.027653918
1,"USAQUÉN","CLINICAS, HOSPITALES, CENTROS MEDICOS",2018,0.008741224
1,"USAQUÉN","COMERCIO",2018,0.033960220
1,"USAQUÉN","HOTELES",2018,0.005461081
1,"USAQUÉN","INDUSTRIA",2018,0.002420801
1,"USAQUÉN","LOTES",2018,0.000028227
1,"USAQUÉN","OFICINAS",2018,0.068289995
1,"USAQUÉN","OTROS",2018,0.026006583
1,"USAQUÉN","RESIDENCIAL",2018,0.801392072
1,"USAQUÉN","UNIVERSIDADES Y COLEGIOS",2018,0.026045878
2,"CHAPINERO","BODEGAS",2010,0.007453684
2,"CHAPINERO","CLINICAS, HOSPITALES, CENTROS MEDICOS",2010,0.016466344
2,"CHAPINERO","COMERCIO",2010,0.075033275
2,"CHAPINERO","HOTELES",2010,0.012988277
2,"CHAPINERO","INDUSTRIA",2010,0.000251201
2,"CHAPINERO","LOTES",2010,0.000276695
2,"CHAPINERO","OFICINAS",2010,0.216027154
2,"CHAPINERO","OTROS",2010,0.027531090
2,"CHAPINERO","RESIDENCIAL",2010,0.597106516
2,"CHAPINERO","UNIVERSIDADES Y COLEGIOS",2010,0.046865764
2,"CHAPINERO","BODEGAS",2011,0.006980199
2,"CHAPINERO","CLINICAS, HOSPITALES, CENTROS MEDICOS",2011,0.016487548
2,"CHAPINERO","COMERCIO",2011,0.073207355
2,"CHAPINERO","HOTELES",2011,0.014736878
2,"CHAPINERO","INDUSTRIA",2011,0.000190060
2,"CHAPINERO","LOTES",2011,0.004969555
2,"CHAPINERO","OFICINAS",2011,0.224981520
2,"CHAPINERO","OTROS",2011,0.029698939
2,"CHAPINERO","RESIDENCIAL",2011,0.579855817
2,"CHAPINERO","UNIVERSIDADES Y COLEGIOS",2011,0.048892128
2,"CHAPINERO","BODEGAS",2012,0.006814385
2,"CHAPINERO","CLINICAS, HOSPITALES, CENTROS MEDICOS",2012,0.016118625
2,"CHAPINERO","COMERCIO",2012,0.071169717
2,"CHAPINERO","HOTELES",2012,0.017538130
2,"CHAPINERO","INDUSTRIA",2012,0.000000000
2,"CHAPINERO","LOTES",2012,0.000000000
2,"CHAPINERO","OFICINAS",2012,0.227781580
2,"CHAPINERO","OTROS",2012,0.025717692
2,"CHAPINERO","RESIDENCIAL",2012,0.582901421
2,"CHAPINERO","UNIVERSIDADES Y COLEGIOS",2012,0.051958450
2,"CHAPINERO","BODEGAS",2013,0.006108720
2,"CHAPINERO","CLINICAS, HOSPITALES, CENTROS MEDICOS",2013,0.017688027
2,"CHAPINERO","COMERCIO",2013,0.068552290
2,"CHAPINERO","HOTELES",2013,0.020531202
2,"CHAPINERO","INDUSTRIA",2013,0.000000000
2,"CHAPINERO","LOTES",2013,0.000000000
2,"CHAPINERO","OFICINAS",2013,0.224833127
2,"CHAPINERO","OTROS",2013,0.024424914
2,"CHAPINERO","RESIDENCIAL",2013,0.586335439
2,"CHAPINERO","UNIVERSIDADES Y COLEGIOS",2013,0.051526281
2,"CHAPINERO","BODEGAS",2014,0.004960667
2,"CHAPINERO","CLINICAS, HOSPITALES, CENTROS MEDICOS",2014,0.017485367
2,"CHAPINERO","COMERCIO",2014,0.068784266
2,"CHAPINERO","HOTELES",2014,0.023941768
2,"CHAPINERO","INDUSTRIA",2014,0.000000000
2,"CHAPINERO","LOTES",2014,0.000000000
2,"CHAPINERO","OFICINAS",2014,0.223598189
2,"CHAPINERO","OTROS",2014,0.027443495
2,"CHAPINERO","RESIDENCIAL",2014,0.586420438
2,"CHAPINERO","UNIVERSIDADES Y COLEGIOS",2014,0.047365810
2,"CHAPINERO","BODEGAS",2015,0.006596771
2,"CHAPINERO","CLINICAS, HOSPITALES, CENTROS MEDICOS",2015,0.017663817
2,"CHAPINERO","COMERCIO",2015,0.067469382
2,"CHAPINERO","HOTELES",2015,0.024022685
2,"CHAPINERO","INDUSTRIA",2015,0.000017886
2,"CHAPINERO","LOTES",2015,0.000000000
2,"CHAPINERO","OFICINAS",2015,0.225372945
2,"CHAPINERO","OTROS",2015,0.025141064
2,"CHAPINERO","RESIDENCIAL",2015,0.585434150
2,"CHAPINERO","UNIVERSIDADES Y COLEGIOS",2015,0.048281300
2,"CHAPINERO","BODEGAS",2016,0.006359218
2,"CHAPINERO","CLINICAS, HOSPITALES, CENTROS MEDICOS",2016,0.017475066
2,"CHAPINERO","COMERCIO",2016,0.067045841
2,"CHAPINERO","HOTELES",2016,0.024138041
2,"CHAPINERO","INDUSTRIA",2016,0.000017670
2,"CHAPINERO","LOTES",2016,0.000000000
2,"CHAPINERO","OFICINAS",2016,0.223365361
2,"CHAPINERO","OTROS",2016,0.024555054
2,"CHAPINERO","RESIDENCIAL",2016,0.588851210
2,"CHAPINERO","UNIVERSIDADES Y COLEGIOS",2016,0.048192539
2,"CHAPINERO","BODEGAS",2017,0.007284920
2,"CHAPINERO","CLINICAS, HOSPITALES, CENTROS MEDICOS",2017,0.017065963
2,"CHAPINERO","COMERCIO",2017,0.066089791
2,"CHAPINERO","HOTELES",2017,0.022100281
2,"CHAPINERO","INDUSTRIA",2017,0.000017680
2,"CHAPINERO","LOTES",2017,0.000000000
2,"CHAPINERO","OFICINAS",2017,0.221190829
2,"CHAPINERO","OTROS",2017,0.024368010
2,"CHAPINERO","RESIDENCIAL",2017,0.593092032
2,"CHAPINERO","UNIVERSIDADES Y COLEGIOS",2017,0.048790493
2,"CHAPINERO","BODEGAS",2018,0.007339102
2,"CHAPINERO","CLINICAS, HOSPITALES, CENTROS MEDICOS",2018,0.016460665
2,"CHAPINERO","COMERCIO",2018,0.064932813
2,"CHAPINERO","HOTELES",2018,0.021502083
2,"CHAPINERO","INDUSTRIA",2018,0.000017166
2,"CHAPINERO","LOTES",2018,0.000000000
2,"CHAPINERO","OFICINAS",2018,0.223089514
2,"CHAPINERO","OTROS",2018,0.025331201
2,"CHAPINERO","RESIDENCIAL",2018,0.592302487
2,"CHAPINERO","UNIVERSIDADES Y COLEGIOS",2018,0.049024969
3,"SANTA FÉ","BODEGAS",2010,0.019324959
3,"SANTA FÉ","CLINICAS, HOSPITALES, CENTROS MEDICOS",2010,0.000842561
3,"SANTA FÉ","COMERCIO",2010,0.124181283
3,"SANTA FÉ","HOTELES",2010,0.025793509
3,"SANTA FÉ","INDUSTRIA",2010,0.000908937
3,"SANTA FÉ","LOTES",2010,0.000656991
3,"SANTA FÉ","OFICINAS",2010,0.264781290
3,"SANTA FÉ","OTROS",2010,0.072471178
3,"SANTA FÉ","RESIDENCIAL",2010,0.442244491
3,"SANTA FÉ","UNIVERSIDADES Y COLEGIOS",2010,0.048794801
3,"SANTA FÉ","BODEGAS",2011,0.019547471
3,"SANTA FÉ","CLINICAS, HOSPITALES, CENTROS MEDICOS",2011,0.000850691
3,"SANTA FÉ","COMERCIO",2011,0.120939726
3,"SANTA FÉ","HOTELES",2011,0.023864318
3,"SANTA FÉ","INDUSTRIA",2011,0.000649795
3,"SANTA FÉ","LOTES",2011,0.000000000
3,"SANTA FÉ","OFICINAS",2011,0.267316357
3,"SANTA FÉ","OTROS",2011,0.074827947
3,"SANTA FÉ","RESIDENCIAL",2011,0.443529379
3,"SANTA FÉ","UNIVERSIDADES Y COLEGIOS",2011,0.048474316
3,"SANTA FÉ","BODEGAS",2012,0.021277484
3,"SANTA FÉ","CLINICAS, HOSPITALES, CENTROS MEDICOS",2012,0.000824392
3,"SANTA FÉ","COMERCIO",2012,0.119568592
3,"SANTA FÉ","HOTELES",2012,0.016595586
3,"SANTA FÉ","INDUSTRIA",2012,0.000481673
3,"SANTA FÉ","LOTES",2012,0.000019467
3,"SANTA FÉ","OFICINAS",2012,0.272000337
3,"SANTA FÉ","OTROS",2012,0.075809056
3,"SANTA FÉ","RESIDENCIAL",2012,0.443661235
3,"SANTA FÉ","UNIVERSIDADES Y COLEGIOS",2012,0.049762177
3,"SANTA FÉ","BODEGAS",2013,0.021566998
3,"SANTA FÉ","CLINICAS, HOSPITALES, CENTROS MEDICOS",2013,0.000834144
3,"SANTA FÉ","COMERCIO",2013,0.121735426
3,"SANTA FÉ","HOTELES",2013,0.017022349
3,"SANTA FÉ","INDUSTRIA",2013,0.000487371
3,"SANTA FÉ","LOTES",2013,0.000000000
3,"SANTA FÉ","OFICINAS",2013,0.275375929
3,"SANTA FÉ","OTROS",2013,0.077317379
3,"SANTA FÉ","RESIDENCIAL",2013,0.434525721
3,"SANTA FÉ","UNIVERSIDADES Y COLEGIOS",2013,0.051134683
3,"SANTA FÉ","BODEGAS",2014,0.020231692
3,"SANTA FÉ","CLINICAS, HOSPITALES, CENTROS MEDICOS",2014,0.000955071
3,"SANTA FÉ","COMERCIO",2014,0.101605066
3,"SANTA FÉ","HOTELES",2014,0.016991778
3,"SANTA FÉ","INDUSTRIA",2014,0.000446980
3,"SANTA FÉ","LOTES",2014,0.000279863
3,"SANTA FÉ","OFICINAS",2014,0.297509753
3,"SANTA FÉ","OTROS",2014,0.075594645
3,"SANTA FÉ","RESIDENCIAL",2014,0.435404186
3,"SANTA FÉ","UNIVERSIDADES Y COLEGIOS",2014,0.050980965
3,"SANTA FÉ","BODEGAS",2015,0.020295996
3,"SANTA FÉ","CLINICAS, HOSPITALES, CENTROS MEDICOS",2015,0.000950731
3,"SANTA FÉ","COMERCIO",2015,0.100849680
3,"SANTA FÉ","HOTELES",2015,0.017294568
3,"SANTA FÉ","INDUSTRIA",2015,0.000446553
3,"SANTA FÉ","LOTES",2015,0.000000000
3,"SANTA FÉ","OFICINAS",2015,0.298104404
3,"SANTA FÉ","OTROS",2015,0.073094856
3,"SANTA FÉ","RESIDENCIAL",2015,0.437688275
3,"SANTA FÉ","UNIVERSIDADES Y COLEGIOS",2015,0.051274937
3,"SANTA FÉ","BODEGAS",2016,0.020071984
3,"SANTA FÉ","CLINICAS, HOSPITALES, CENTROS MEDICOS",2016,0.000928468
3,"SANTA FÉ","COMERCIO",2016,0.098657914
3,"SANTA FÉ","HOTELES",2016,0.018698909
3,"SANTA FÉ","INDUSTRIA",2016,0.000436096
3,"SANTA FÉ","LOTES",2016,0.000000000
3,"SANTA FÉ","OFICINAS",2016,0.290876861
3,"SANTA FÉ","OTROS",2016,0.072382797
3,"SANTA FÉ","RESIDENCIAL",2016,0.447484023
3,"SANTA FÉ","UNIVERSIDADES Y COLEGIOS",2016,0.050462948
3,"SANTA FÉ","BODEGAS",2017,0.020030694
3,"SANTA FÉ","CLINICAS, HOSPITALES, CENTROS MEDICOS",2017,0.000933580
3,"SANTA FÉ","COMERCIO",2017,0.098831506
3,"SANTA FÉ","HOTELES",2017,0.019856759
3,"SANTA FÉ","INDUSTRIA",2017,0.000438497
3,"SANTA FÉ","LOTES",2017,0.000000000
3,"SANTA FÉ","OFICINAS",2017,0.293178830
3,"SANTA FÉ","OTROS",2017,0.072902883
3,"SANTA FÉ","RESIDENCIAL",2017,0.443331279
3,"SANTA FÉ","UNIVERSIDADES Y COLEGIOS",2017,0.050495971
3,"SANTA FÉ","BODEGAS",2018,0.019398427
3,"SANTA FÉ","CLINICAS, HOSPITALES, CENTROS MEDICOS",2018,0.000922630
3,"SANTA FÉ","COMERCIO",2018,0.098787779
3,"SANTA FÉ","HOTELES",2018,0.019632350
3,"SANTA FÉ","INDUSTRIA",2018,0.000433354
3,"SANTA FÉ","LOTES",2018,0.000000000
3,"SANTA FÉ","OFICINAS",2018,0.289960253
3,"SANTA FÉ","OTROS",2018,0.073059094
3,"SANTA FÉ","RESIDENCIAL",2018,0.447793720
3,"SANTA FÉ","UNIVERSIDADES Y COLEGIOS",2018,0.050012394
4,"SAN CRISTÓBAL","BODEGAS",2010,0.018680936
4,"SAN CRISTÓBAL","CLINICAS, HOSPITALES, CENTROS MEDICOS",2010,0.010107798
4,"SAN CRISTÓBAL","COMERCIO",2010,0.017147280
4,"SAN CRISTÓBAL","HOTELES",2010,0.000000000
4,"SAN CRISTÓBAL","INDUSTRIA",2010,0.005403321
4,"SAN CRISTÓBAL","LOTES",2010,0.000000000
4,"SAN CRISTÓBAL","OFICINAS",2010,0.016834576
4,"SAN CRISTÓBAL","OTROS",2010,0.017567728
4,"SAN CRISTÓBAL","RESIDENCIAL",2010,0.881862293
4,"SAN CRISTÓBAL","UNIVERSIDADES Y COLEGIOS",2010,0.032396068
4,"SAN CRISTÓBAL","BODEGAS",2011,0.018531848
4,"SAN CRISTÓBAL","CLINICAS, HOSPITALES, CENTROS MEDICOS",2011,0.010203688
4,"SAN CRISTÓBAL","COMERCIO",2011,0.017406090
4,"SAN CRISTÓBAL","HOTELES",2011,0.000000000
4,"SAN CRISTÓBAL","INDUSTRIA",2011,0.001904809
4,"SAN CRISTÓBAL","LOTES",2011,0.000000000
4,"SAN CRISTÓBAL","OFICINAS",2011,0.018663525
4,"SAN CRISTÓBAL","OTROS",2011,0.019608935
4,"SAN CRISTÓBAL","RESIDENCIAL",2011,0.883188663
4,"SAN CRISTÓBAL","UNIVERSIDADES Y COLEGIOS",2011,0.030492442
4,"SAN CRISTÓBAL","BODEGAS",2012,0.018450329
4,"SAN CRISTÓBAL","CLINICAS, HOSPITALES, CENTROS MEDICOS",2012,0.008826340
4,"SAN CRISTÓBAL","COMERCIO",2012,0.017014155
4,"SAN CRISTÓBAL","HOTELES",2012,0.000000000
4,"SAN CRISTÓBAL","INDUSTRIA",2012,0.001302468
4,"SAN CRISTÓBAL","LOTES",2012,0.000000000
4,"SAN CRISTÓBAL","OFICINAS",2012,0.021979880
4,"SAN CRISTÓBAL","OTROS",2012,0.020407035
4,"SAN CRISTÓBAL","RESIDENCIAL",2012,0.882652355
4,"SAN CRISTÓBAL","UNIVERSIDADES Y COLEGIOS",2012,0.029367439
4,"SAN CRISTÓBAL","BODEGAS",2013,0.017765543
4,"SAN CRISTÓBAL","CLINICAS, HOSPITALES, CENTROS MEDICOS",2013,0.008676816
4,"SAN CRISTÓBAL","COMERCIO",2013,0.016743203
4,"SAN CRISTÓBAL","HOTELES",2013,0.000000000
4,"SAN CRISTÓBAL","INDUSTRIA",2013,0.001336459
4,"SAN CRISTÓBAL","LOTES",2013,0.000000000
4,"SAN CRISTÓBAL","OFICINAS",2013,0.021811080
4,"SAN CRISTÓBAL","OTROS",2013,0.020283490
4,"SAN CRISTÓBAL","RESIDENCIAL",2013,0.884897377
4,"SAN CRISTÓBAL","UNIVERSIDADES Y COLEGIOS",2013,0.028486032
4,"SAN CRISTÓBAL","BODEGAS",2014,0.017022655
4,"SAN CRISTÓBAL","CLINICAS, HOSPITALES, CENTROS MEDICOS",2014,0.009916563
4,"SAN CRISTÓBAL","COMERCIO",2014,0.016507242
4,"SAN CRISTÓBAL","HOTELES",2014,0.000000000
4,"SAN CRISTÓBAL","INDUSTRIA",2014,0.001252193
4,"SAN CRISTÓBAL","LOTES",2014,0.000000000
4,"SAN CRISTÓBAL","OFICINAS",2014,0.022283873
4,"SAN CRISTÓBAL","OTROS",2014,0.020106477
4,"SAN CRISTÓBAL","RESIDENCIAL",2014,0.886392067
4,"SAN CRISTÓBAL","UNIVERSIDADES Y COLEGIOS",2014,0.026518929
4,"SAN CRISTÓBAL","BODEGAS",2015,0.017327681
4,"SAN CRISTÓBAL","CLINICAS, HOSPITALES, CENTROS MEDICOS",2015,0.009812237
4,"SAN CRISTÓBAL","COMERCIO",2015,0.016525201
4,"SAN CRISTÓBAL","HOTELES",2015,0.000000000
4,"SAN CRISTÓBAL","INDUSTRIA",2015,0.000751708
4,"SAN CRISTÓBAL","LOTES",2015,0.000000000
4,"SAN CRISTÓBAL","OFICINAS",2015,0.021939918
4,"SAN CRISTÓBAL","OTROS",2015,0.020387767
4,"SAN CRISTÓBAL","RESIDENCIAL",2015,0.887190241
4,"SAN CRISTÓBAL","UNIVERSIDADES Y COLEGIOS",2015,0.026065247
4,"SAN CRISTÓBAL","BODEGAS",2016,0.017183886
4,"SAN CRISTÓBAL","CLINICAS, HOSPITALES, CENTROS MEDICOS",2016,0.010089042
4,"SAN CRISTÓBAL","COMERCIO",2016,0.016351013
4,"SAN CRISTÓBAL","HOTELES",2016,0.000000000
4,"SAN CRISTÓBAL","INDUSTRIA",2016,0.000746284
4,"SAN CRISTÓBAL","LOTES",2016,0.000000000
4,"SAN CRISTÓBAL","OFICINAS",2016,0.021923920
4,"SAN CRISTÓBAL","OTROS",2016,0.020747009
4,"SAN CRISTÓBAL","RESIDENCIAL",2016,0.887054775
4,"SAN CRISTÓBAL","UNIVERSIDADES Y COLEGIOS",2016,0.025904072
4,"SAN CRISTÓBAL","BODEGAS",2017,0.015919405
4,"SAN CRISTÓBAL","CLINICAS, HOSPITALES, CENTROS MEDICOS",2017,0.009957074
4,"SAN CRISTÓBAL","COMERCIO",2017,0.016592010
4,"SAN CRISTÓBAL","HOTELES",2017,0.000000000
4,"SAN CRISTÓBAL","INDUSTRIA",2017,0.000736707
4,"SAN CRISTÓBAL","LOTES",2017,0.000000000
4,"SAN CRISTÓBAL","OFICINAS",2017,0.021640843
4,"SAN CRISTÓBAL","OTROS",2017,0.020924231
4,"SAN CRISTÓBAL","RESIDENCIAL",2017,0.889736686
4,"SAN CRISTÓBAL","UNIVERSIDADES Y COLEGIOS",2017,0.024493045
4,"SAN CRISTÓBAL","BODEGAS",2018,0.016395490
4,"SAN CRISTÓBAL","CLINICAS, HOSPITALES, CENTROS MEDICOS",2018,0.009876200
4,"SAN CRISTÓBAL","COMERCIO",2018,0.016188338
4,"SAN CRISTÓBAL","HOTELES",2018,0.000000000
4,"SAN CRISTÓBAL","INDUSTRIA",2018,0.000595209
4,"SAN CRISTÓBAL","LOTES",2018,0.000000000
4,"SAN CRISTÓBAL","OFICINAS",2018,0.021441742
4,"SAN CRISTÓBAL","OTROS",2018,0.020898552
4,"SAN CRISTÓBAL","RESIDENCIAL",2018,0.890419910
4,"SAN CRISTÓBAL","UNIVERSIDADES Y COLEGIOS",2018,0.024184559
5,"USME","BODEGAS",2010,0.016142269
5,"USME","CLINICAS, HOSPITALES, CENTROS MEDICOS",2010,0.000512705
5,"USME","COMERCIO",2010,0.017668467
5,"USME","HOTELES",2010,0.000000000
5,"USME","INDUSTRIA",2010,0.012581637
5,"USME","LOTES",2010,0.000017636
5,"USME","OFICINAS",2010,0.012495069
5,"USME","OTROS",2010,0.021115508
5,"USME","RESIDENCIAL",2010,0.887175378
